,Lan,CUI,P,LUI,PF,SUI,name
713892,ENG,C0031934,P,L0031933,PF,S0073848,Pimelic Acids
714074,ENG,C0031952,P,L0031951,PF,S0073871,Pipecolic Acids
714144,ENG,C0031958,P,L0031957,PF,S0073875,Piperazines
714149,ENG,C0031960,P,L0031959,PF,S0073877,Piperidines
716718,ENG,C0032302,P,L0026941,PF,S0388730,Mycoplasma pneumonia
717101,ENG,C0032346,P,L0032343,PF,S0074649,Poisons
717316,ENG,C0032378,P,L0011391,PF,S0031264,Dental Polishes
722304,ENG,C0033082,P,L0013231,PF,S0076185,"Prescriptions, Non-Drug"
728333,ENG,C0034023,P,L0034022,PF,S0078536,Public Health Nursing
730286,ENG,C0034255,P,L0034251,PF,S0078987,Pyridines
730529,ENG,C0034289,P,L0034284,PF,S0079028,Pyrimidines
731348,ENG,C0034424,P,L0034423,PF,S0079260,Quinolines
740824,ENG,C0035681,P,L0388094,PF,S0853945,DNA-Directed RNA Polymerase
742759,ENG,C0036072,P,L0036071,PF,S0083740,Salicylamides
742766,ENG,C0036074,P,L0036073,PF,S0083741,Salicylanilides
742774,ENG,C0036077,P,L0036075,PF,S0083744,Salicylates
742879,ENG,C0036080,P,L0036079,PF,S0083746,Salicylic Acids
743666,ENG,C0036171,P,L0036170,PF,S0083895,Sanitary Engineering
745233,ENG,C0036380,P,L0036372,PF,S0084310,"Schools, Nursing"
752425,ENG,C0037369,P,L0037366,PF,S0086438,Smoking
758487,ENG,C0038230,P,L0038229,PF,S0088120,Stearic Acids
760525,ENG,C0038472,P,L0038471,PF,S0088695,Strophanthins
760854,ENG,C0038515,P,L0038511,PF,S0406140,Styrene
762408,ENG,C0038703,P,L1223477,PF,S0089263,Sulfanilamides
762554,ENG,C0038723,P,L0038722,PF,S0089356,Sulfathiazoles
763016,ENG,C0038786,P,L0038784,PF,S0089459,Sulfuric Acids
763025,ENG,C0038788,P,L0038787,PF,S0089462,Sulfurous Acids
764737,ENG,C0038990,P,L0038984,PF,S0089987,Sweating
768910,ENG,C0039651,P,L0039644,PF,S0092635,Tetracyclines
769035,ENG,C0039673,P,L0039672,PF,S0092665,Tetrahydronaphthalenes
779062,ENG,C0041013,P,L0041012,PF,S0095445,Triiodobenzoic Acids
779417,ENG,C0041065,P,L0041063,PF,S0095508,Trinitrobenzenes
785299,ENG,C0042037,P,L0042036,PF,S1450748,In Urine
794157,ENG,C0043251,P,L0043251,PF,S0100212,Wounds and Injuries
794663,ENG,C0043318,P,L0043314,PF,S0100365,Xanthines
795058,ENG,C0043368,P,L0043367,PF,S0100465,Xylenes
797478,ENG,C0044018,P,L0012500,PF,S0367474,Dioxane
797500,ENG,C0044022,P,L0043864,PF,S0103832,"1,4-naphthoquinone-2-sulfonate"
801308,ENG,C0045482,P,L0043804,PF,S0109627,"2,4-dichloro-1-nitrobenzene"
802475,ENG,C0045943,P,L0045159,PF,S0111488,2-bromo-2'-deoxyadenosine
805353,ENG,C0047042,P,L0046767,PF,S0115267,"3,5-diiodothyronine"
806176,ENG,C0047413,P,L0046162,PF,S0116710,3-hydroxy-2-methylvaleric acid
806618,ENG,C0047564,P,L0046832,PF,S0117122,3-methyl-4-methylaminoazobenzene
806757,ENG,C0047620,P,L0046833,PF,S0117236,3-monoiodothyronine
807188,ENG,C0047769,P,L0046821,PF,S0117935,4'-hydroxy-3'-methoxynomifensine
807715,ENG,C0047997,P,L0045830,PF,S0118853,"4-amino-2,6-dinitrotoluene"
807722,ENG,C0048000,P,L0045841,PF,S0118863,4-amino-2-nitrophenol
807726,ENG,C0048005,P,L0047210,PF,S0118873,4-amino-3-hydroxybutyric acid
808261,ENG,C0048167,P,L0047295,PF,S0119260,4-chloro-3-hydroxyphenylacetic acid
809161,ENG,C0048487,P,L0047776,PF,S0120061,4-methylangelicin
811750,ENG,C0049579,P,L0022703,PF,S6381132,Kinetin
811791,ENG,C0049592,P,L0049215,PF,S0123810,6-hydroxy-5-methoxy-2-indolylcarboxylic acid
811797,ENG,C0049593,P,L0049216,PF,S0123811,6-hydroxy-5-methoxyindole
811912,ENG,C0049648,P,L0046351,PF,S0123956,6-methyl-2-ethyl-3-hydroxypyridine
812488,ENG,C0049911,P,L0044806,PF,S0124889,7-hydroxymethyl-12-methylbenz(a)anthracene
813742,ENG,C0050410,P,L0000954,PF,S0126968,acenaphthene
813785,ENG,C0050423,P,L0000968,PF,S0126999,acetamide
813921,ENG,C0050456,P,L0001004,PF,S0127194,acetonitrile
813936,ENG,C0050459,P,L0001006,PF,S0127199,acetophenone
814323,ENG,C0050587,P,L0001218,PF,S0354258,Acrylamide
815079,ENG,C0050846,P,L0001522,PF,S0128299,adipic acid
816991,ENG,C0051419,P,L0025772,PF,S1416147,methylglucoside
818420,ENG,C0051830,P,L0002854,PF,S0131368,androstane
818744,ENG,C0051922,P,L0003080,PF,S0131618,anisole
818863,ENG,C0051959,P,L0003172,PF,S0131745,anthranilic acid
821207,ENG,C0052794,P,L0004496,PF,S0134210,aziridine
822289,ENG,C0053139,P,L0005029,PF,S0135497,benzamide
822296,ENG,C0053140,P,L0005030,PF,S0135557,benzamidine
822435,ENG,C0053183,P,L0005050,PF,S0135848,benzimidazole
822645,ENG,C0053233,P,L0005077,PF,S0136117,benzophenone
822892,ENG,C0053301,P,L0005106,PF,S0136252,benzylamine
826502,ENG,C0054312,P,L0006523,PF,S1391219,Butyric Acid
826983,ENG,C0054433,P,L0006643,PF,S0140489,caffeic acid
827306,ENG,C0054527,P,L0011808,PF,S0417693,dextrin
827566,ENG,C0054616,P,L0028825,PF,S0187508,octanoic acid
827764,ENG,C0054658,P,L0006974,PF,S0141115,carbazole
828526,ENG,C0054858,P,L0007413,PF,S0141575,catechol
830377,ENG,C0055330,P,L0008164,PF,S0143088,chloramine
831276,ENG,C0055568,P,L0008404,PF,S1391277,Cholic Acid
831592,ENG,C0055655,P,L0008722,PF,S0143824,chrysene
832156,ENG,C0055807,P,L0008850,PF,S0144298,citraconic anhydride
832351,ENG,C0055860,P,L0008917,PF,S0838628,Clavulanic Acid
835598,ENG,C0056759,P,L0010567,PF,S0147308,cyclohexanecarboxylic acid
835599,ENG,C0056760,P,L0010571,PF,S0147315,cyclohexanone
837169,ENG,C0057239,P,L0011090,PF,S0149319,decanoic acid
839500,ENG,C0057938,P,L0012188,PF,S0151291,diethylamine
840629,ENG,C0058246,P,L0012409,PF,S0151924,dimethylamine
841098,ENG,C0058374,P,L0012527,PF,S0152220,diphenylacetic acid
841957,ENG,C0058657,P,L0012992,PF,S0153124,dolichol monophosphate
843203,ENG,C0059032,P,L0013901,PF,S0154577,ellipticine
843261,ENG,C0059040,P,L0059039,PF,S0154604,elongation factor Ts
843975,ENG,C0059317,P,L0059312,PF,S0155371,"enkephalin, Pen(2)-Cys(5)-"
844782,ENG,C0059531,P,L0014723,PF,S0156022,erucic acid
845269,ENG,C0059696,P,L0014983,PF,S0156587,ethanolamine
847998,ENG,C0060440,P,L0016219,PF,S0158705,flavone
848311,ENG,C0060517,P,L0016311,PF,S0158872,fluorene
848318,ENG,C0060520,P,L0016314,PF,S0373130,Fluorescein
848723,ENG,C0060653,P,L0016583,PF,S0159261,formocresol
848757,ENG,C0060659,P,L0016595,PF,S0159272,formycin
849059,ENG,C0060764,P,L0016744,PF,S0644614,FRUCTOKINASE
849342,ENG,C0060850,P,L0016850,PF,S0159800,furan
849713,ENG,C0060968,P,L0016947,PF,S0160162,galactose dehydrogenase
851675,ENG,C0061542,P,L0017859,PF,S0161981,glyceric acid
853525,ENG,C0062128,P,L0018606,PF,S1932035,Harringtonine
853840,ENG,C0062245,P,L0019016,PF,S0164746,hemoglobin AS
859871,ENG,C0063768,P,L0021975,PF,S0169425,iodobenzene
863072,ENG,C0064858,P,L0023551,PF,S0173261,leupeptin
864333,ENG,C0065240,P,L0024096,PF,S0174406,lumicolchicine
865232,ENG,C0065573,P,L0024579,PF,S1932040,Maleimide
865380,ENG,C0065636,P,L0024685,PF,S0175711,mandelic acid
865599,ENG,C0065693,P,L0745993,PF,S2721556,Mannose-Binding Lectins
867771,ENG,C0066318,P,L0025719,PF,S0177865,methylamine
868100,ENG,C0066399,P,L0025791,PF,S0178037,methylmannoside
868134,ENG,C0066409,P,L0025795,PF,S1416164,Methylmethacrylate
871072,ENG,C0067385,P,L0067305,PF,S0181174,"N,N-dimethylarginine"
872684,ENG,C0068008,P,L0019459,PF,S11897712,hexane
874979,ENG,C0068781,P,L0028108,PF,S0185520,nipecotic acid
875053,ENG,C0068800,P,L0028123,PF,S0185563,nitrate reductase
879482,ENG,C0070203,P,L0030744,PF,S0190957,pectin
879882,ENG,C0070329,P,L0030918,PF,S0191304,pepstatin
880525,ENG,C0070559,P,L0031399,PF,S1932044,Phenethylamine
880576,ENG,C0070570,P,L0031428,PF,S0192191,phenol
880715,ENG,C0070605,P,L0031449,PF,S0713384,Phenyl ether
881146,ENG,C0070750,P,L0031588,PF,S1932045,Phorbol
881364,ENG,C0070813,P,L0031625,PF,S0192786,phosphine
881667,ENG,C0070913,P,L0031692,PF,S0193000,phosphoramide mustard
881890,ENG,C0070966,P,L0031780,PF,S0193160,phthalazine
881892,ENG,C0070968,P,L0031782,PF,S0193163,phthalic acid
881894,ENG,C0070969,P,L0031783,PF,S0193167,phthalic anhydride
881901,ENG,C0070970,P,L0031785,PF,S0193168,phthalimide
882073,ENG,C0071038,P,L0031885,PF,S0193300,picolinic acid
883380,ENG,C0071401,P,L0071399,PF,S0194356,poly(d(G-T).d(C-A))
883435,ENG,C0071421,P,L0071416,PF,S0194396,poly(dT-dG)n.poly(dC-dA)n
883991,ENG,C0071615,P,L0032522,PF,S0194868,polymethacrylic acid
885527,ENG,C0072131,P,L0765292,PF,S0998017,Pro-X dipeptidase
885570,ENG,C0072138,P,L0070655,PF,S0196364,prolyl-phenylalanyl-arginine chloromethyl ketone
885759,ENG,C0072186,P,L0033482,PF,S0397766,Propionic acid
885887,ENG,C0072225,P,L0033506,PF,S0397777,Propylene glycol
886039,ENG,C0072250,P,L0072250,PF,S0196655,prorennin
887714,ENG,C0072662,P,L0034242,PF,S0197941,pyrazole
887734,ENG,C0072667,P,L1223277,PF,S0197952,pyrene
887765,ENG,C0072677,P,L0034250,PF,S0424721,pyridazine
888077,ENG,C0072780,P,L0034326,PF,S0198260,pyrrolidine
888442,ENG,C0072879,P,L0034425,PF,S0198557,Quinolinic Acid
888935,ENG,C0073085,P,L0035197,PF,S0199909,resorcinol
889706,ENG,C0073358,P,L0035575,PF,S0200643,ricinoleic acid
892428,ENG,C0074369,P,L0074369,PF,S0203808,serine endopeptidase
894586,ENG,C0075040,P,L0038031,PF,S0206181,sporidesmin
895247,ENG,C0075255,P,L0038332,PF,S0206910,stilbamidine
895859,ENG,C0075430,P,L0038619,PF,S0207363,succinic anhydride
895862,ENG,C0075432,P,L0038623,PF,S0207369,succinimide
899182,ENG,C0076433,P,L0039861,PF,S0210262,thienamycin
901038,ENG,C0076979,P,L0076977,PF,S0211970,tri-(deoxyguanylic acid-deoxycytidylic acid)
902710,ENG,C0077431,P,L0041248,PF,S0212977,tryptamine
908842,ENG,C0079356,P,L0079247,PF,S0034921,DNA Fingerprints
909105,ENG,C0079417,P,L0079417,PF,S0063621,mos Genes
912329,ENG,C0080045,P,L0033118,PF,S0076305,Prices
913724,ENG,C0080298,P,L0038084,PF,S5864171,SRC gene
914315,ENG,C0080759,P,L0044334,PF,S0111644,2-chloro-1-propanol
916532,ENG,C0082471,P,L0014764,PF,S0156061,erythrocruorin
917661,ENG,C0083072,P,L0022217,PF,S0170043,isopentane
919191,ENG,C0084086,P,L0084086,PF,S0194053,PMUE protocol
926857,ENG,C0085523,P,L0025620,PF,S0061738,Methanobacterium
929325,ENG,C0085744,P,L0001370,PF,S0010702,Acyl CoA Dehydrogenases
929637,ENG,C0085805,P,L0002843,PF,S0013703,Androgen Binding Protein
930183,ENG,C0085889,P,L0000404,PF,S0577809,3-Hydroxyacyl-CoA dehydrogenase
931316,ENG,C0086140,P,L0011806,PF,S0032185,Dextran
933056,ENG,C0086509,P,L0022713,PF,S0055577,Kininogen
933852,ENG,C0086603,P,L0025159,PF,S0060913,Megacin
933889,ENG,C0086614,P,L0025687,PF,S0061895,Methoxydimethyltryptamine
936171,ENG,C0087095,P,L0040278,PF,S0093863,Tissue Banking
939040,ENG,C0094125,P,L0046740,PF,S0114287,"3 beta,16 beta-dihydroxyandrost-5-en-17-one"
939484,ENG,C0095499,P,L0095732,PF,S0116709,3-hydroxy-2-methylvalerate
939514,ENG,C0095577,P,L0048384,PF,S0116891,3-hydroxyphenylacetate 4-monooxygenase
939701,ENG,C0096199,P,L0097762,PF,S0118029,"4,3-premercapturic acid"
939957,ENG,C0097101,P,L0000506,PF,S0119737,4-hydroxycoumarin
941483,ENG,C0101303,P,L0001219,PF,S0127570,acrylate
941883,ENG,C0102137,P,L0002040,PF,S0129244,alginate
943013,ENG,C0104238,P,L0003816,PF,S0133120,arsenate
943663,ENG,C0105583,P,L0005040,PF,S0135806,benzenesulfonate
946779,ENG,C0109497,P,L0008315,PF,S0143422,cholate
947665,ENG,C0111150,P,L0054375,PF,S0146588,CS 684
948567,ENG,C0113337,P,L0118873,PF,S0150436,dG(3'-5')dA
950570,ENG,C0117151,P,L1223767,PF,S0157437,F-peptide
950749,ENG,C0117554,P,L0015864,PF,S0158165,ferricyanide
951376,ENG,C0118704,P,L0125761,PF,S5916414,gamma-Cyclodextrins
951694,ENG,C0119452,P,L0017772,PF,S0161638,Glucosyltransferase
952091,ENG,C0120446,P,L0018320,PF,S0375535,Guanidine
955467,ENG,C0125903,P,L0023752,PF,S0173696,Linolenic Acid
955511,ENG,C0125953,P,L0133857,PF,S0173794,Lipoprotein (a-)
956753,ENG,C0127646,P,L0025494,PF,S0687680,Mesoporphyrin
957589,ENG,C0129533,P,L0027137,PF,S0950970,Myristate
959423,ENG,C0133660,P,L0006930,PF,S6724223,Caprylate
961011,ENG,C0137033,P,L0031889,PF,S0193317,picrate
961410,ENG,C0137914,P,L0032487,PF,S0074913,Polyethylene
965940,ENG,C0144112,P,L0075578,PF,S0207687,sulfomucins
966156,ENG,C0144544,P,L0039328,PF,S0208510,tartrate
966648,ENG,C0145627,P,L0039880,PF,S3588482,Thiobarbiturate
966943,ENG,C0146158,P,L0004359,PF,S0211249,To autoantigen
967648,ENG,C0147271,P,L0041443,PF,S2187878,Tylose
968213,ENG,C0148323,P,L0074447,PF,S2034436,Shiga Toxins
968293,ENG,C0148349,P,L0078216,PF,S2188317,Vetrazin
968398,ENG,C0148517,P,L0158199,PF,S14010336,Vitamin K Epoxide Reductase
968426,ENG,C0148584,P,L0042982,PF,S0215803,VP-2
1023043,ENG,C0158872,P,L0185743,PF,S0646181,"Fetal malnutrition without mention of ""light-for-dates"", unspecified [weight]"
1023048,ENG,C0158873,P,L0185744,PF,S0250377,"Fetal malnutrition without mention of ""light-for-dates"", less than 500 grams"
1023051,ENG,C0158874,P,L0185745,PF,S0250378,"Fetal malnutrition without mention of ""light-for-dates"", 500-749 grams"
1023054,ENG,C0158875,P,L0185746,PF,S0250379,"Fetal malnutrition without mention of ""light-for-dates"", 750-999 grams"
1023057,ENG,C0158876,P,L0185747,PF,S13468419,"Fetal malnutrition without mention of ""light-for-dates"", 1,000-1,249 grams"
1023061,ENG,C0158877,P,L0185748,PF,S13468420,"Fetal malnutrition without mention of ""light-for-dates"", 1,250-1,499 grams"
1023065,ENG,C0158878,P,L0185770,PF,S13468421,"Fetal malnutrition without mention of ""light-for-dates"", 1,500-1,749 grams"
1023069,ENG,C0158879,P,L0185750,PF,S13468422,"Fetal malnutrition without mention of ""light-for-dates"", 1,750-1,999 grams"
1023073,ENG,C0158880,P,L0185751,PF,S13468423,"Fetal malnutrition without mention of ""light-for-dates"", 2,000-2,499 grams"
1023077,ENG,C0158881,P,L10832373,PF,S13468424,"Fetal malnutrition without mention of ""light-for-dates"", 2,500 grams and over"
1041289,ENG,C0162508,P,L0086243,PF,S2103263,JUN gene
1041843,ENG,C0162542,P,L0178854,PF,S0257094,Fracture Healing
1047294,ENG,C0164061,P,L0095314,PF,S0260616,4-chloro-2-nitroaniline
1047997,ENG,C0164516,P,L0019019,PF,S0261157,hemoglobin A2'
1052118,ENG,C0169752,P,L0197614,PF,S0267623,"3-vinyl-4H-1,2-dithiin"
1052645,ENG,C0170638,P,L0198562,PF,S0268659,eukaryotic initiation factor-4
1053068,ENG,C0171282,P,L0043920,PF,S0269391,"2,3-dichloro-1-propanol"
1053595,ENG,C0172158,P,L0200182,PF,S0270444,tyrosyl-glutamyl-tyrosyl-glutamic acid
1055104,ENG,C0174883,P,L0010305,PF,S0364885,Cresol
1059783,ENG,C0175905,P,L0071524,PF,S0283413,Polycarbonates
1059812,ENG,C0175916,P,L0211803,PF,S0283425,"Catalogs, Card"
1062568,ENG,C0177222,P,L0188830,PF,S0704535,Other operations on supporting structures of uterus
1065684,ENG,C0178463,P,L0001730,PF,S0288491,affinity labeling
1065793,ENG,C0178522,P,L0006032,PF,S0288662,boronic acid
1065922,ENG,C0178579,P,L0010565,PF,S0288848,cycloheptane
1066333,ENG,C0178756,P,L0027392,PF,S0289509,naphthyridine
1066446,ENG,C0178819,P,L0034240,PF,S10608575,Pyrazine
1066451,ENG,C0178820,P,L0034437,PF,S10608635,Quinoxaline
1066532,ENG,C0178847,P,L0037093,PF,S0289890,silane
1068890,ENG,C0179608,P,L0160356,PF,S12085405,Cardiac monitors
1072574,ENG,C0180849,P,L0015945,PF,S3314779,Fetal monitor
1075331,ENG,C0181935,P,L0160547,PF,S0294205,Nasal Packs
1077287,ENG,C0182591,P,L0034532,PF,S12085507,Radiation monitors
1078768,ENG,C0183175,P,L0036411,PF,S7853826,Scleral buckle
1081687,ENG,C0184182,P,L0085207,PF,S0297059,"Tubs, Bath"
1084725,ENG,C0185116,P,L0218408,PF,S0298421,Epilation by forceps
1086106,ENG,C0185419,P,L0223729,PF,S0298842,Repair of muscle by graft or implant of tendon
1094887,ENG,C0187524,P,L0226267,PF,S0301380,Repair of muscle of hand by graft or implant of tendon
1104561,ENG,C0189711,P,L0217263,PF,S1283782,Aneurysm clipping
1106367,ENG,C0190135,P,L0229620,PF,S0304780,Outflow tract augmentation of pulmonic valve without commissurotomy and with infundibular resection
1107271,ENG,C0190395,P,L0229962,PF,S0305132,"Ascending aorta graft with cardiopulmonary bypass, with coronary implant, without valve suspension, with valve replacement"
1107274,ENG,C0190396,P,L0229962,PF,S0305133,"Ascending aorta graft with cardiopulmonary bypass, without coronary implant, with valve suspension and valve replacement"
1107277,ENG,C0190397,P,L0229964,PF,S0305134,"Ascending aorta graft with cardiopulmonary bypass, without coronary implant, without valve suspension, with valve replacement"
1138973,ENG,C0197720,P,L0239695,PF,S0315066,Intracapsular extraction of lens with iridectomy and without enzymes
1161215,ENG,C0202598,P,L0011925,PF,S3256319,"Diagnostic radiography with contrast media by injection, positive contrast"
1170125,ENG,C0204569,P,L0248121,PF,S0323763,"Sexual psychotherapy, female therapist - male patient"
1170822,ENG,C0204744,P,L0248321,PF,S0323972,Protection of surroundings from individual
1172183,ENG,C0205090,P,L0035621,PF,S0324510,Right
1172973,ENG,C0205242,P,L1222285,PF,S0324663,Cleaved
1173587,ENG,C0205393,P,L0596866,PF,S0324819,Most
1175574,ENG,C0205795,P,L0020348,PF,S0050187,Hydroxydopamine
1175576,ENG,C0205796,P,L0020600,PF,S0050607,Hypochlorous Acids
1175897,ENG,C0205847,P,L0021132,PF,S0062499,Middle Aged
1176160,ENG,C0205884,P,L0030980,PF,S0071912,Perchlorates
1176161,ENG,C0205885,P,L0030981,PF,S0071914,Perchloric Acids
1176164,ENG,C0205886,P,L0031068,PF,S0072094,Periodic Acids
1176206,ENG,C0205893,P,L0031626,PF,S0326489,Phosphinic Acid
1179029,ENG,C0206229,P,L7970726,PF,S10003841,"Infectious Disease Transmission, Patient-to-Professional"
1180118,ENG,C0206359,P,L0131647,PF,S0328987,Isothiocyanates
1181389,ENG,C0206499,P,L0052418,PF,S0329759,Arsenites
1185284,ENG,C0206749,P,L0014047,PF,S0037435,"Encephalitis Viruses, Japanese"
1187922,ENG,C0209075,P,L0048171,PF,S0333471,4-chloro-7-nitrobenzofuran
1188872,ENG,C0210242,P,L0254541,PF,S0334701,U 87201E
1192641,ENG,C0216350,P,L0003606,PF,S0341831,aporphine
1196557,ENG,C0220778,P,L0000988,PF,S0127158,acetoacetate
1196563,ENG,C0220780,P,L0002545,PF,S0013135,Aminobutyric Acid
1196597,ENG,C0220788,P,L0004490,PF,S0288602,azetidine
1196604,ENG,C0220792,P,L0043149,PF,S0757278,Whirlpool bath
1196618,ENG,C0220794,P,L0005032,PF,S0135563,benzanthracene
1196636,ENG,C0220795,P,L0005058,PF,S1292353,Benzoate
1196645,ENG,C0220801,P,L0006228,PF,S0139070,bromobenzene
1196648,ENG,C0220802,P,L0006521,PF,S0139731,butyrate
1196708,ENG,C0220821,P,L0012315,PF,S0417856,dihydropyridine
1196738,ENG,C0220832,P,L0016572,PF,S0159239,formate
1196740,ENG,C0220833,P,L0016801,PF,S0159750,fumarate
1196745,ENG,C0220836,P,L0017714,PF,S0161515,gluconate
1196750,ENG,C0220837,P,L0017730,PF,S0161569,glucose dehydrogenase
1196758,ENG,C0220838,P,L0017774,PF,S0161644,glucuronate
1196760,ENG,C0220839,P,L0017789,PF,S0375134,Glutamate
1196767,ENG,C0220840,P,L0017948,PF,S0162268,glycolate
1196771,ENG,C0220841,P,L0017996,PF,S0162614,glyoxylate
1196814,ENG,C0220849,P,L0019568,PF,S0165828,hippurate
1196847,ENG,C0220858,P,L0021243,PF,S0168776,indolizine
